Year,Region,Party,Alignment,Votes %,Votes N
1994,Netherlands,VVD,Centre-Right,19.93,1787293
1994,Netherlands,PvdA,Centre-Left,23.99,2151589
1994,Netherlands,PVV,Right-Wing,NA,NA
1994,Netherlands,SP,Left-Wing,1.32,118732
1994,Netherlands,CDA,Centre,22.24,1994479
1994,Netherlands,D66,Centre,15.49,1389242
1994,Netherlands,CU,Centre,NA,NA
1994,Netherlands,GL,Left-Wing,3.46,310629
1994,Netherlands,SGP,Right-Wing,1.73,155193
1994,Netherlands,PvdD,Left-Wing,NA,NA
1994,Netherlands,50PLUS,Centre,NA,NA
1998,Netherlands,VVD,Centre-Right,24.69,2124971
1998,Netherlands,PvdA,Centre-Left,28.98,2494555
1998,Netherlands,PVV,Right-Wing,NA,NA
1998,Netherlands,SP,Left-Wing,3.53,303703
1998,Netherlands,CDA,Centre,18.37,1581053
1998,Netherlands,D66,Centre,8.99,773497
1998,Netherlands,CU,Centre,NA,NA
1998,Netherlands,GL,Left-Wing,7.27,625968
1998,Netherlands,SGP,Right-Wing,1.78,153583
1998,Netherlands,PvdD,Left-Wing,NA,NA
1998,Netherlands,50PLUS,Centre,NA,NA
2002,Netherlands,VVD,Centre-Right,15.44,1466722
2002,Netherlands,PvdA,Centre-Left,15.11,1436023
2002,Netherlands,PVV,Right-Wing,NA,NA
2002,Netherlands,SP,Left-Wing,5.9,560447
2002,Netherlands,CDA,Centre,27.93,2653723
2002,Netherlands,D66,Centre,5.1,484317
2002,Netherlands,CU,Centre,2.54,240953
2002,Netherlands,GL,Left-Wing,6.95,660692
2002,Netherlands,SGP,Right-Wing,1.72,163562
2002,Netherlands,PvdD,Left-Wing,NA,NA
2002,Netherlands,50PLUS,Centre,NA,NA
2003,Netherlands,VVD,Centre-Right,17.91,1728697
2003,Netherlands,PvdA,Centre-Left,27.26,2631363
2003,Netherlands,PVV,Right-Wing,NA,NA
2003,Netherlands,SP,Left-Wing,6.32,609723
2003,Netherlands,CDA,Centre,28.62,2763480
2003,Netherlands,D66,Centre,4.07,393333
2003,Netherlands,CU,Centre,2.12,204694
2003,Netherlands,GL,Left-Wing,5.14,495802
2003,Netherlands,SGP,Right-Wing,1.56,150305
2003,Netherlands,PvdD,Left-Wing,0.49,47754
2003,Netherlands,50PLUS,Centre,NA,NA
2006,Netherlands,VVD,Centre-Right,14.67,1443312
2006,Netherlands,PvdA,Centre-Left,21.19,2085077
2006,Netherlands,PVV,Right-Wing,5.89,579490
2006,Netherlands,SP,Left-Wing,16.58,1630803
2006,Netherlands,CDA,Centre,26.51,2608573
2006,Netherlands,D66,Centre,1.96,193232
2006,Netherlands,CU,Centre,3.97,390969
2006,Netherlands,GL,Left-Wing,4.6,453054
2006,Netherlands,SGP,Right-Wing,1.56,153266
2006,Netherlands,PvdD,Left-Wing,1.83,179988
2006,Netherlands,50PLUS,Centre,NA,NA
2010,Netherlands,VVD,Centre-Right,20.49,1929575
2010,Netherlands,PvdA,Centre-Left,19.63,1848805
2010,Netherlands,PVV,Right-Wing,15.45,1454493
2010,Netherlands,SP,Left-Wing,9.82,924696
2010,Netherlands,CDA,Centre,13.61,1281886
2010,Netherlands,D66,Centre,6.95,654167
2010,Netherlands,CU,Centre,3.24,305094
2010,Netherlands,GL,Left-Wing,6.67,628096
2010,Netherlands,SGP,Right-Wing,1.74,163581
2010,Netherlands,PvdD,Left-Wing,1.3,122317
2010,Netherlands,50PLUS,Centre,NA,NA
2012,Netherlands,VVD,Centre-Right,26.58,2504948
2012,Netherlands,PvdA,Centre-Left,24.84,2340750
2012,Netherlands,PVV,Right-Wing,10.08,950263
2012,Netherlands,SP,Left-Wing,9.65,909853
2012,Netherlands,CDA,Centre,8.51,801620
2012,Netherlands,D66,Centre,8.03,757091
2012,Netherlands,CU,Centre,3.13,294586
2012,Netherlands,GL,Left-Wing,2.33,219896
2012,Netherlands,SGP,Right-Wing,2.09,196780
2012,Netherlands,PvdD,Left-Wing,1.93,182162
2012,Netherlands,50PLUS,Centre,1.88,177631
1994,Groningen,VVD,Centre-Right,14.21,49268
1994,Groningen,PvdA,Centre-Left,34.83,120763
1994,Groningen,PVV,Right-Wing,NA,NA
1994,Groningen,SP,Left-Wing,1.7,5883
1994,Groningen,CDA,Centre,17.33,60082
1994,Groningen,D66,Centre,14.06,48747
1994,Groningen,CU,Centre,NA,NA
1994,Groningen,GL,Left-Wing,4.51,15651
1994,Groningen,SGP,Right-Wing,0.18,640
1994,Groningen,PvdD,Left-Wing,NA,NA
1994,Groningen,50PLUS,Centre,NA,NA
1998,Groningen,VVD,Centre-Right,16.41,53555
1998,Groningen,PvdA,Centre-Left,37.06,120972
1998,Groningen,PVV,Right-Wing,NA,NA
1998,Groningen,SP,Left-Wing,4.3,14034
1998,Groningen,CDA,Centre,16.03,52341
1998,Groningen,D66,Centre,8.59,28037
1998,Groningen,CU,Centre,NA,NA
1998,Groningen,GL,Left-Wing,8.08,26369
1998,Groningen,SGP,Right-Wing,0.2,641
1998,Groningen,PvdD,Left-Wing,NA,NA
1998,Groningen,50PLUS,Centre,NA,NA
2002,Groningen,VVD,Centre-Right,12.79,44471
2002,Groningen,PvdA,Centre-Left,23.91,83174
2002,Groningen,PVV,Right-Wing,NA,NA
2002,Groningen,SP,Left-Wing,6.88,23923
2002,Groningen,CDA,Centre,22.2,77221
2002,Groningen,D66,Centre,5.24,18220
2002,Groningen,CU,Centre,5.52,19192
2002,Groningen,GL,Left-Wing,8.95,31120
2002,Groningen,SGP,Right-Wing,0.39,1341
2002,Groningen,PvdD,Left-Wing,NA,NA
2002,Groningen,50PLUS,Centre,NA,NA
2003,Groningen,VVD,Centre-Right,13.03,47194
2003,Groningen,PvdA,Centre-Left,39.58,143333
2003,Groningen,PVV,Right-Wing,NA,NA
2003,Groningen,SP,Left-Wing,7.26,26299
2003,Groningen,CDA,Centre,20.59,74555
2003,Groningen,D66,Centre,3.89,14100
2003,Groningen,CU,Centre,4.73,17126
2003,Groningen,GL,Left-Wing,6.02,21804
2003,Groningen,SGP,Right-Wing,0.31,1106
2003,Groningen,PvdD,Left-Wing,0.45,1620
2003,Groningen,50PLUS,Centre,NA,NA
2006,Groningen,VVD,Centre-Right,10.87,39476
2006,Groningen,PvdA,Centre-Left,31.03,112694
2006,Groningen,PVV,Right-Wing,3.17,11527
2006,Groningen,SP,Left-Wing,19.19,69678
2006,Groningen,CDA,Centre,18.28,66396
2006,Groningen,D66,Centre,1.86,6746
2006,Groningen,CU,Centre,7.01,25459
2006,Groningen,GL,Left-Wing,5.89,21372
2006,Groningen,SGP,Right-Wing,0.33,1201
2006,Groningen,PvdD,Left-Wing,1.63,5930
2006,Groningen,50PLUS,Centre,NA,NA
2010,Groningen,VVD,Centre-Right,14.45,49041
2010,Groningen,PvdA,Centre-Left,27.6,93631
2010,Groningen,PVV,Right-Wing,11.36,38559
2010,Groningen,SP,Left-Wing,11.66,39569
2010,Groningen,CDA,Centre,11.11,37688
2010,Groningen,D66,Centre,6.47,21952
2010,Groningen,CU,Centre,6.11,20743
2010,Groningen,GL,Left-Wing,8.34,28297
2010,Groningen,SGP,Right-Wing,0.5,1706
2010,Groningen,PvdD,Left-Wing,1.46,4960
